"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N59GVG7Y","journalArticle","2019","U.S. Climate Data","Climate Bishop - California and Weather averages Bishop - Weather history december 2012","United States Weather Service","","","","https://www.usclimatedata.com/climate/bishop/california/united-states/usca0103/2012/12","","2019","2019-12-22 12:35:32","2020-07-30 22:00:31","2019-12-22 12:35:32","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/5MI2JFEE/12.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUZ84Y4F","journalArticle","2019","U.S. Climate Data","Climate Fresno - California and Weather averages Fresno - Weather history february 2010","United States Weather Service","","","","https://www.usclimatedata.com/climate/fresno/california/united-states/usca2234/2010/2","","2019","2019-12-22 12:35:57","2020-07-30 22:00:34","2019-12-22 12:35:57","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/2JMG5RGG/2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TNQECST","journalArticle","2016","Haeni, Matthias; von Arx, Georg; Gessler, Arthur; Graf Pannatier, Elisabeth; Innes, John L.; Jakob, Peter; Jetel, Markéta; Kube, Marlen; Nötzli, Magdalena; Schaub, Marcus; Schmitt, Maria; Sutter, Flurin; Thimonier, Anne; Waldner, Peter; Rebetez, Martine","Long-term forest meteorological data from the Long-term Forest Ecosystem Research Programme (LWF) in Switzerland, from 1996-2016","PANGAEA","","","https://doi.org/10.1594/PANGAEA.868390","https://doi.pangaea.de/10.1594/PANGAEA.868390","Haeni, Matthias; von Arx, Georg; Gessler, Arthur; Graf Pannatier, Elisabeth; Innes, John L; Jakob, Peter; Jetel, Markéta; Kube, Marlen; Nötzli, Magdalena; Schaub, Marcus; Schmitt, Maria; Sutter, Flurin; Thimonier, Anne; Waldner, Peter; Rebetez, Martine (2016): Long-term forest meteorological data from the Long-term Forest Ecosystem Research Programme (LWF) in Switzerland, from 1996-2016. PANGAEA, https://doi.org/10.1594/PANGAEA.868390, Supplement to: Rebetez, Martine; von Arx, Georg; Gessler, Arthur; Graf Pannatier, Elisabeth; Innes, John L; Jakob, Peter; Jetel, Markéta; Kube, Marlen; Nötzli, Magdalena; Schaub, Marcus; Schmitt, Maria; Sutter, Flurin; Thimonier, Anne; Waldner, Peter; Haeni, Matthias (2018): Meteorological data series from Swiss long-term forest ecosystem research plots since 1997. Annals of Forest Science, 75(2), 41, https://doi.org/10.1007/s13595-018-0709-7","2016-11-14","2019-12-22 12:37:02","2020-08-01 18:17:13","2019-12-22 12:37:02","","","","","","","","","","","","","","en","","","","","doi.pangaea.de","","type: dataset","","/Users/David/Zotero/storage/AZ28BSFH/PANGAEA.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVNMV6PY","webpage","2019","Anderson, Suzanne; Hinckley, Eve-Lyn; Rock, Nathan; Ragar, Dillon","Gordon Gulch Soil Temperature and Moisture","National Critical Zone Observatory","","","","http://criticalzone.org/boulder/data/dataset/2426/","","2019","2019-12-22 12:38:33","2020-08-01 17:52:52","2019-03-22 12:38:33","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/LN7YGYZ6/2426.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9NAZZJG5","webpage","2019","Ragar, Dillon","CZO Dataset: Betasso - Air Temperature, Climate, Meteorology (2009-2017) - LIVE Betasso Meteorological Data (BT_Met) .","","","","","http://criticalzone.org/boulder/data/dataset/2821/","","2019","2019-12-22 12:39:45","2019-12-22 12:40:30","2019-03-22 12:39:45","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/BEJ8UAQG/2821.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJ2QXPEZ","document","2017","Flerchinger, Gerald","AmeriFlux US-Rws Reynolds Creek Wyoming big sagebrush","","","","","10.17190/AMF/1375201","This is the AmeriFlux version of the carbon flux data for the site US-Rws Reynolds Creek Wyoming big sagebrush. Site Description - The site is located on the USDA-ARS's Reynolds Creek Experimental Watershed. It is dominated by Wyoming big sagebrush on land managed by USDI Bureau of Land Management.","2017","2019-12-22 12:41:51","2019-12-22 12:42:52","2019-12-22 12:41:51","","","","","","","","","","","","AmeriFlux; USDA Agricultural Research Service","","en","","","","","DOI.org (Datacite)","","type: dataset DOI: 10.17190/AMF/1375201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LECJTFWZ","document","2017","Flerchinger, Gerald","AmeriFlux US-Rms RCEW Mountain Big Sagebrush.","","","","","10.17190/AMF/1375202","This is the AmeriFlux version of the carbon flux data for the site US-Rms RCEW Mountain Big Sagebrush. Site Description - The site is located on the USDA-ARS's Reynolds Creek Experimental Watershed. It is dominated by mountain big sagebrush on land managed by USDI Bureau of Land Management.","2017","2019-12-22 12:42:52","2020-07-30 21:01:58","2019-12-22 12:42:52","","","","","","","","","","","","AmeriFlux; USDA Agricultural Research Service","","en","","","","","DOI.org (Datacite)","","type: dataset DOI: 10.17190/AMF/1375202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7VCH2KT","webpage","2019","National Weather Service","National Weather Service Snow Depth Data","","","","","https://w2.weather.gov/climate/xmacis.php?wfo=boi","Government Internet Service Home page. The starting point for official government weather forecasts, warnings, meteorological products for forecasting the weather, and information about meteorology.","2019","2019-12-22 12:43:59","2020-08-01 18:20:19","2019-12-22 12:43:59","","","","","","","","","","","","","","EN-US","","","","","","","","","/Users/David/Zotero/storage/97G9S39J/xmacis.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XB7G6I8L","webpage","2019","Campbell, John","Hubbard Brook Experimental Forest (USDA Forest Service): Daily Mean Temperature Data, 1955 - present","Hubbard Brook Ecosystem Study","","","","http://data.hubbardbrook.org/data/dataset.php?id=58","","2019","2019-12-22 12:47:27","2019-12-22 12:52:54","2019-12-22 12:47:27","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/M6ERU9UW/dataset.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KC2NZBW6","webpage","2019","Campbell, John","Hubbard Brook Experimental Forest (USDA Forest Service): Daily Maximum and Minimum Temperature Records, 1955 - present","Hubbard Brook Ecosystem Study","","","","http://data.hubbardbrook.org/data/dataset.php?id=59","","2019","2019-12-22 12:48:44","2020-08-01 17:17:54","2019-12-22 12:48:44","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/Y3UUXANH/dataset.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9BJM54I","journalArticle","2015","Groffman, Peter","Soil moisture and temperature along an elevation gradient at the Hubbard Brook Experimental Forest, 2010 - present.","","","","10.6073/pasta/7409e6255a71e18f6d0c4b726f68b65f","https://doi.org/10.6073/pasta/7409e6255a71e18f6d0c4b726f68b65f","","2015","2019-12-22 12:52:54","2019-12-22 12:55:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUPVPA9G","document","2016","Litvak, Marcy","AmeriFlux US-Vcm Valles Caldera Mixed Conifer","","","","","10.17190/AMF/1246121","This is the AmeriFlux version of the carbon flux data for the site US-Vcm Valles Caldera Mixed Conifer. Site Description - The Valles Caldera Mixed Conifer site is located in the 1200 km2 Jemez River basin in north-central New Mexico. Common to elevations ranging from 3040 to 2740 m in the region, the mixed conifer stand, within the entirety of the tower footprint in all directions, provides an excellent setting for studying the seasonal interaction between snow and vegetation.","2016","2019-12-22 12:55:42","2019-12-22 12:56:06","2019-12-22 12:55:42","","","","","","","","","","","","AmeriFlux; University of New Mexico","","en","","","","","DOI.org (Datacite)","","type: dataset DOI: 10.17190/AMF/1246121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SE9LKS5","document","2016","Litvak, Marcy","AmeriFlux US-Vcp Valles Caldera Ponderosa Pine","","","","","10.17190/AMF/1246122","This is the AmeriFlux version of the carbon flux data for the site US-Vcp Valles Caldera Ponderosa Pine. Site Description - The Valles Caldera Ponderosa Pine site is located in the 1200km2 Jemez River basin of the Jemez Mountains in north-central New Mexico at the southern margin of the Rocky Mountain ecoregion. The Ponderosa Pine forest is the warmest and lowest (below 2700m) zone of the forests in the Valles Caldera National Preserve. Its vegetation is composed of a Ponderosa Pine (Pinus Ponderosa) overstory and a Gambel Oak (Quercus gambelii) understory.","2016","2019-12-22 12:56:25","2019-12-22 12:57:10","2019-12-22 12:56:25","","","","","","","","","","","","AmeriFlux; University of New Mexico","","en","","","","","DOI.org (Datacite)","","type: dataset DOI: 10.17190/AMF/1246122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2HWGXKK","journalArticle","2019","Andrews Forest LTER Site,; Daly, C; McKee, W","Air and soil temperature data from the Reference Stand network at the Andrews Experimental Forest, 1971 to present ver 15.","Environmental Data Initiative.","","","","http://dx.doi.org/10.6073/pasta/d0abe716146004268bb5f876ee42c992","","2019","2019-12-22 12:58:58","2020-07-30 21:01:07","2019-12-22 12:58:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JKTJNMKI","webpage","2019","Bolstad, Paul; Love, Jason; Herndon, Brian","Continuously measured soil moisture, soil temperature, and air temperature from stations, Coweeta Hydrologic Laboratory","","","","","http://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=1309","","2019","2019-12-22 13:05:00","2020-07-30 22:00:42","2019-12-22 13:05:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4R8BC93","journalArticle","2011","Simard, Marc; Pinto, Naiara; Fisher, Joshua B.; Baccini, Alessandro","Mapping forest canopy height globally with spaceborne lidar","Journal of Geophysical Research: Biogeosciences","","2156-2202","10.1029/2011JG001708","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2011JG001708","Data from spaceborne light detection and ranging (lidar) opens the possibility to map forest vertical structure globally. We present a wall-to-wall, global map of canopy height at 1-km spatial resolution, using 2005 data from the Geoscience Laser Altimeter System (GLAS) aboard ICESat (Ice, Cloud, and land Elevation Satellite). A challenge in the use of GLAS data for global vegetation studies is the sparse coverage of lidar shots (mean = 121 data points/degree2 for the L3C campaign). However, GLAS-derived canopy height (RH100) values were highly correlated with other, more spatially dense, ancillary variables available globally, which allowed us to model global RH100 from forest type, tree cover, elevation, and climatology maps. The difference between the model predicted RH100 and footprint level lidar-derived RH100 values showed that error increased in closed broadleaved forests such as the Amazon, underscoring the challenges in mapping tall (>40 m) canopies. The resulting map was validated with field measurements from 66 FLUXNET sites. The modeled RH100 versus in situ canopy height error (RMSE = 6.1 m, R2 = 0.5; or, RMSE = 4.4 m, R2 = 0.7 without 7 outliers) is conservative as it also includes measurement uncertainty and sub pixel variability within the 1-km pixels. Our results were compared against a recently published canopy height map. We found our values to be in general taller and more strongly correlated with FLUXNET data. Our map reveals a global latitudinal gradient in canopy height, increasing towards the equator, as well as coarse forest disturbance patterns.","2011","2019-12-22 13:06:25","2019-12-22 13:06:25","2019-12-22 13:06:25","","","G4","116","","","","","","","","","","en","Copyright 2011 by the American Geophysical Union.","","","","Wiley Online Library","","","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Simard et al_2011_Mapping forest canopy height globally with spaceborne lidar2.pdf; /Users/David/Zotero/storage/QYV2M3MG/2011JG001708.html","","","forest; global; biomass; lidar; ICESat; vegetation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDPT3EHT","journalArticle","2015","Crowther, T. W.; Glick, H. B.; Covey, K. R.; Bettigole, C.; Maynard, D. S.; Thomas, S. M.; Smith, J. R.; Hintler, G.; Duguid, M. C.; Amatulli, G.; Tuanmu, M.-N.; Jetz, W.; Salas, C.; Stam, C.; Piotto, D.; Tavani, R.; Green, S.; Bruce, G.; Williams, S. J.; Wiser, S. K.; Huber, M. O.; Hengeveld, G. M.; Nabuurs, G.-J.; Tikhonova, E.; Borchardt, P.; Li, C.-F.; Powrie, L. W.; Fischer, M.; Hemp, A.; Homeier, J.; Cho, P.; Vibrans, A. C.; Umunay, P. M.; Piao, S. L.; Rowe, C. W.; Ashton, M. S.; Crane, P. R.; Bradford, M. A.","Mapping tree density at a global scale","Nature","","1476-4687","10.1038/nature14967","https://www.nature.com/articles/nature14967","Ground-sourced tree density data is assembled to provide a global map of tree density, which reveals that there are three trillion trees (tenfold more than previous estimates); tree numbers have declined by nearly half since the start of human civilization and over 15 billion trees are lost on an annual basis.","2015-09","2019-12-22 13:06:36","2019-12-22 13:06:36","2019-12-22 13:06:36","201-205","","7568","525","","Nature","","","","","","","","en","2015 Nature Publishing Group, a division of Macmillan Publishers Limited. All Rights Reserved.","","","","www.nature.com","","","","/Users/David/Zotero/storage/CIVRFPMF/nature14967.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A64EGKC","journalArticle","2018","Hu, Yiming; Ding, Zhifeng; Jiang, Zhigang; Quan, Qing; Guo, Keji; Tian, Liqiao; Hu, Huijian; Gibson, Luke","Birds in the Himalayas: What drives beta diversity patterns along an elevational gradient?","Ecology and Evolution","","2045-7758","10.1002/ece3.4622","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.4622","Beta diversity patterns along elevational gradients have become a hot topic in the study of biogeography and can help illuminate the processes structuring mountain ecosystems. Although elevational species richness patterns have been well documented, there remains much uncertainty over the causes of beta diversity patterns across elevational gradients. We conducted bird surveys and obtained high-resolution climatic data along an elevational gradient in Gyirong Valley in the central Himalayas, China, between 1,800 and 5,400 m elevation. In total, we recorded 182 bird species (including 169 breeding birds). We simulated beta diversity patterns with the mid-domain effect (MDE) null model and conducted distance-based redundancy analyses (db-RDA) to relate beta diversity to dispersal limitations, spatial constraints, habitat complexity, contemporary climate, and historical climate. Mantel tests and variation partitioning were employed to identify the magnitude of independent statistical associations of environmental factors with beta diversity. Patterns of empirical and simulated beta diversity were both hump-shaped, peaking at intermediate elevations. The db-RDA indicated that beta diversity was correlated with changes in spatially structured environmental factors, especially with contemporary climate and habitat complexity. Mantel tests and variation partitioning also suggested that climate dissimilarity was the major independent correlate of beta diversity. The random community structure and spatial constraints may also contribute to the overall hump-shaped pattern. Beta diversity of bird communities in Gyirong Valley could be explained by the combination of different factors but is mainly shaped by the spatially structured environmental factors, especially contemporary climate.","2018","2020-01-04 20:49:32","2020-01-04 20:49:32","2020-01-04 20:49:32","11704-11716","","23","8","","","Birds in the Himalayas","","","","","","","en","© 2018 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","","","","Wiley Online Library","","","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Hu et al_2018_Birds in the Himalayas.pdf; /Users/David/Zotero/storage/T9R23G39/ece3.html","","","birds; species turnover; biodiversity patterns; environmental factors; Gyirong Valley; mid-domain effect; spatial factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HX6TUY8M","webpage","2019","Bolstad, Paul; Love, Jason","Spring and Fall Leaf Phenology from Coweeta LTER Soil Moisture Sites SM2 & SM4, Coweeta Hydrologic Laboratory, Otto, NC, 2003-2015","Coweeta LTER","","","","https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=1142","","2019","2020-01-07 17:49:53","2020-08-01 17:28:49","2020-01-07 17:49:53","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/GJ8NTRH2/dataset_details.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6DDHVU7","journalArticle","2014","Shirk, Philip L.; Linden, Daniel W.; Patrick, David A.; Howell, Kim M.; Harper, Elizabeth B.; Vonesh, James R.","Impact of habitat alteration on endemic Afromontane chameleons: evidence for historical population declines using hierarchical spatial modelling","Diversity and Distributions","","1472-4642","10.1111/ddi.12239","https://onlinelibrary.wiley.com/doi/abs/10.1111/ddi.12239","Aim We map estimated historical population declines resulting from species-specific models of sensitivity to habitat fragmentation for three forest-dependent chameleons. Location East Usambara Mountains, Eastern Arc Mountains, Tanzania. Methods We surveyed three chameleon species (Rhampholeon spinosus, Rhampholeon temporalis and Trioceros deremensis) along 32.2 km of transects and used a hierarchical, distance-sampling model to estimate densities. The model included habitat characteristics at the landscape (patch) and local (transect) scales while accounting for detectability. By analysing the model in a Bayesian framework, we were able to propagate error through the entire analysis and obtain exact solutions despite small sample sizes. We then used our estimated relationships between habitat and density to project chameleon population sizes across current and historical land cover maps of the study area (230 km2), giving an estimate of the impact of anthropogenic habitat alteration on these species. Results Species’ densities increased in larger patches and further from patch edges and varied seasonally. Local vegetation characteristics had significant relationships with expected chameleon densities, though effect sizes were small. Estimates of total current population sizes varied by two orders of magnitude among species, but each was 49–79% higher than detection-naïve estimates. All three declined from estimated historical levels by approximately 60% in the study area, approximately one-third more than would be expected from forest loss alone. Remaining populations of the study species are predominantly located in protected nature reserves, so the future of these species will likely be determined by the degree of protection offered by the nature reserves. Main conclusions Habitat loss and fragmentation have greatly reduced forest-dependent chameleon population sizes in the East Usambara Mountains. Populations of these species in other areas are experiencing higher rates of habitat loss. Efforts aimed at ensuring the efficacy of protected forests may be a key to conserving remaining populations.","2014","2020-08-01 17:33:12","2020-08-01 17:33:12","2020-08-01 17:33:12","1186-1199","","10","20","","","Impact of habitat alteration on endemic Afromontane chameleons","","","","","","","en","© 2014 John Wiley & Sons Ltd","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/ddi.12239","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Shirk et al_2014_Impact of habitat alteration on endemic Afromontane chameleons.pdf; /Users/David/Zotero/storage/RQVZ8PMJ/ddi.html","","","edge effects; habitat fragmentation; distance sampling; Chamaeleonidae; density–area relationship; hierarchical Bayesian model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2W3C4VJ","journalArticle","2020","Flerchinger, Gerald N.; Fellows, Aaron W.; Seyfried, Mark S.; Clark, Patrick E.; Lohse, Kathleen A.","Water and Carbon Fluxes Along an Elevational Gradient in a Sagebrush Ecosystem","Ecosystems","","1432-9840","10.1007/s10021-019-00400-x","https://link.springer.com/epdf/10.1007/s10021-019-00400-x","Differences in water and carbon fluxes along a climate/elevation gradient within a sagebrush ecosystem are quantified, and inferences are made about climate warming using a network of eddy covariance systems. Sites are located within the Reynolds Creek Critical Zone Observatory in southwestern Idaho, USA, with elevations ranging from 1425 to 2111 m, annual precipitation ranging from 290 to 795 mm and annual temperature ranging from 9.1 to 5.4 °C. Annual gross ecosystem production (GEP) for the sites averaged (± uncertainty) 385 ± 6, 549 ± 19, 684 ± 25, and 818 ± 26 gC m−2 from lowest to highest elevation. Annual net ecosystem production indicated that the sites are carbon sinks with annual uptake typically ranging from 100 ± 10 to 200 ± 30 gC m−2. Exceptions to this are: the lowest elevation site which was carbon neutral (1 ± 16 gC m−2) during a year with a summer rainfall respiration pulse, and the highest elevation site, where carbon uptake dropped to 42 ± 20 gC m−2 during a heavy snow year. Carbon flux and evapotranspiration (ET) peaked about a month earlier at the lower elevation sites, but with limited precipitation, these sites encountered water stress for much of the growing season. Model simulations suggest that climate warming will likely have a negligible impact on annual ET and GEP at lower elevations, but rather shift ET and GEP earlier in the season and prolong the period of water stress. ET and GEP may increase with climate warming at higher elevations where precipitation is above a threshold of about 450 mm.","2020","2020-08-01 17:35:57","2020-08-01 17:35:57","2020-08-01 17:35:57","","","2","23","","","","","","","","","","en","","","","","www.readcube.com","","","","/Users/David/Zotero/storage/N8I2ARLG/s10021-019-00400-x.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BYCNM86","journalArticle","2020","Klinges, David H.; Scheffers, Brett R.","Data from: Microgeography, not just latitude, drives climate overlap on mountains from tropical to polar ecosystems","American Naturalist, Dryad Digital Repository","","","https://doi.org/10.5061/dryad.w3r2280nf","http://datadryad.org/stash/dataset/doi:10.5061/dryad.w3r2280nf","An extension of the climate variability hypothesis is that relatively stable climate, such as that of the tropics, induces distinct thermal bands across elevation that render dispersal over tropical mountains difficult compared to temperate mountains. Yet, ecosystems are not thermally static in space-time, especially at small scales, which might render some mountains greater thermal isolators than others. Here, we provide an extensive investigation of temperature drivers from fine to coarse scales, and demonstrate that the degree of overlap in temperatures at high and low elevations on mountains is driven by more than just absolute mountain height and latitude. We compiled a database of 29 mountains spanning 6 continents to characterize “thermal overlap” by vertically stratified microhabitats, biomes, and owing to seasonal changes in foliage, demonstrating via mixed-effects modeling that micro- and mesogeography more strongly influence thermal overlap than macrogeography. Impressively, an increase of one meter of vertical microhabitat height generates an increase in overlap equivalent to a 5.26° change in latitude. In addition, forested mountains have reduced overlap – 149% lower – relative to non-forested mountains. We provide evidence in support of a climate hypothesis that emphasizes microgeography as a determinant of dispersal, demographics, and behavior, thereby refining classical theory of macroclimate variability as a prominent driver of biogeography.","2020","2020-08-02 17:17:57","2020-08-03 03:05:41","2020-08-02 17:17:57","","","","","","","Data from","","","","","","","en","Creative Commons Zero v1.0 Universal","","","","DOI.org (Datacite)","","Artwork Size: 66859 bytes Pages: 66859 bytes Version Number: 2 type: dataset DOI: 10.5061/DRYAD.W3R2280NF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBLL5I38","document","2018","Senior, Rebecca A.; Hill, Jane K.; González Del Pliego, Pamela; Goode, Laurel K.; Edwards, David P.","Data from: A pantropical analysis of the impacts of forest degradation and conversion on local temperature","","","","","http://datadryad.org/stash/dataset/doi:10.5061/dryad.g4000","Temperature is a core component of a species’ fundamental niche. At the fine scale over which most organisms experience climate (mm to ha), temperature depends upon the amount of radiation reaching the Earth’s surface, which is principally governed by vegetation. Tropical regions have undergone widespread and extreme changes to vegetation, particularly through the degradation and conversion of rainforests. Since most terrestrial biodiversity is in the tropics, and many of these species possess narrow thermal limits, it is important to identify local thermal impacts of rainforest degradation and conversion. We collected pan-tropical, site-level (&lt; 1 ha) temperature data from the literature to quantify impacts of land-use change on local temperatures, and to examine whether this relationship differed above-ground relative to below-ground and between wet and dry seasons. We found that local temperature in our sample sites was higher than primary forest in all human-impacted land-use types (N = 113,894 day-time temperature measurements from 25 studies). Warming was pronounced following conversion of forest to agricultural land (minimum +1.6°C, maximum +13.6°C), but minimal and non-significant when compared to forest degradation (e.g. by selective logging; minimum +1°C, maximum +1.1°C). The effect was buffered below-ground (minimum buffering 0°C, maximum buffering 11.4°C), whereas seasonality had minimal impact (maximum buffering 1.9°C). We conclude that forest-dependent species that persist following conversion of rainforest have experienced substantial local warming. Deforestation pushes these species closer to their thermal limits, making it more likely that compounding effects of future perturbations, such as severe droughts and global warming, will exceed species’ tolerances. By contrast, degraded forests and below-ground habitats may provide important refugia for thermally-restricted species in landscapes dominated by agricultural land.","2018","2020-08-21 20:37:16","2020-08-21 20:37:16","2020-08-21 20:37:16","","","","","","","Data from","","","","","Dryad","","en","Creative Commons Zero v1.0 Universal","","","","DOI.org (Datacite)","","Artwork Size: 82104465 bytes Pages: 82104465 bytes Version Number: 1 type: dataset DOI: 10.5061/DRYAD.G4000","","","","","Forest degradation; temperature; Scale; Forest conversion; Land-use change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2AIRH7L","journalArticle","2017","Hu, Yiming; Jin, Kun; Huang, Zhiwen; Ding, Zhifeng; Liang, Jianchao; Pan, Xinyuan; Hu, Huijian; Jiang, Zhigang","Elevational patterns of non-volant small mammal species richness in Gyirong Valley, Central Himalaya: Evaluating multiple spatial and environmental drivers","Journal of Biogeography","","1365-2699","https://doi.org/10.1111/jbi.13102","https://onlinelibrary.wiley.com/doi/abs/10.1111/jbi.13102","Aim Documenting the elevational species richness patterns of non-volant small mammals and assessing the roles of pure spatial factors and spatial structured environmental factors in shaping the elevational richness patterns. Location Gyirong Valley in the Mount Qomolangma National Nature Reserve, located in the southern Himalayas, China. Methods Field surveys were conducted at each of twelve 300-m elevational bands along a gradient from 1,800 to 5,400 m above sea level (a.s.l). For the pure spatial variables, we calculated area and the spatial null model named MDE (cf. below). For spatial structured environmental variables, we calculated mean annual temperature, mean annual precipitation, mean annual temperature range, potential evapotranspiration (PET), the normalized difference vegetation index, plant species richness and habitat heterogeneity. Multivariate models of species richness against eight factors (excluding PET) for different species groups were used to test the explanatory power of both the spatial structured environmental variables and the pure spatial variables. In addition, mean annual precipitation and potential evapotranspiration were used to test the water–energy dynamics model for each species groups. Results Seven hundred and fifty-five individuals of 22 species were documented over 21,600 trap nights. The elevational species richness pattern for all non-volant small mammals was hump-shaped with the highest richness occurring at 2,700–3,300 m a.s.l. Endemic and non-endemic species as well as two elevational range size categories of small mammals also generally showed hump-shaped species richness patterns. In most data sets, spatial structured environmental variables played more important roles than the pure spatial variables in shaping the elevational species richness patterns than the pure spatial factors, while the MDE contributed to richness patterns for large-ranged species. The water–energy dynamics model explained 66% of the variation in all the non-volant small mammals, 56% for endemic species, 88% for the non-endemic species, 59% for the large-ranged species, and 53% for the small-ranged species. Main conclusions Although no single key factor can explain all species richness patterns, we found that spatial structured environmental variables correlate well with the elevational species richness pattern of non-volant small mammals. The water–energy dynamics model was found to explain non-volant small mammal species richness along the Gyirong Valley.","2017","2021-01-13 19:40:27","2021-01-13 19:40:27","2021-01-13 19:40:27","2764-2777","","12","44","","","Elevational patterns of non-volant small mammal species richness in Gyirong Valley, Central Himalaya","","","","","","","en","© 2017 John Wiley & Sons Ltd","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/jbi.13102","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Hu et al_2017_Elevational patterns of non-volant small mammal species richness in Gyirong.pdf; /Users/David/Zotero/storage/MEJMPTRD/jbi.html","","","elevational gradients; small mammals; biodiversity patterns; environmental factors; spatial factors; Himalaya Mountains; water–energy dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
